"route_uid","route_id","has_sub_routes","operator_id","operator_name_zh","operator_name_en","authority_id","provider_id","sub_route_uid","sub_route_id","sub_route_name_zh","sub_route_name_en","headsign","headsign_en","direction","first_bus_time","last_bus_time","holiday_first_bus_time","holiday_last_bus_time","bus_route_type","route_name_zh","route_name_en","departure_stop_name_zh","departure_stop_name_en","destination_stop_name_zh","destination_stop_name_en","ticket_price_description_zh","ticket_price_description_en","fare_buffer_zone_description_zh","fare_buffer_zone_description_en","route_map_image_url","city","city_code","SrcUpdateTime","UpdateTime","InfoTime","InfoDate"
KHH8562,"8562",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH8562,"8562",紅56C(學校寒暑假停駛),Red56C,捷運楠梓加工區－高雄大學,,0,,,,,11,紅56C(學校寒暑假停駛),Red56C,捷運楠梓加工區,MRT Nanzih Export Processing Zone,高雄大學,National University of Kaohsiung,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8562,"8562",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH8562,"8562",紅56C(學校寒暑假停駛),Red56C,捷運楠梓加工區－高雄大學,,1,,,,,11,紅56C(學校寒暑假停駛),Red56C,捷運楠梓加工區,MRT Nanzih Export Processing Zone,高雄大學,National University of Kaohsiung,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH857,"857",1,"10360",港都客運,"Great-City-Life Bus Co., Ltd.","009","009",KHH857,"857",紅57,Red57,東六街口－創意南路,,0,,,,,11,紅57,Red57,東六街口,E. 6th St. Intersection,創意南路,Chuang-Yi S. Rd.,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH857,"857",1,"10360",港都客運,"Great-City-Life Bus Co., Ltd.","009","009",KHH857,"857",紅57,Red57,東六街口－創意南路,,1,,,,,11,紅57,Red57,東六街口,E. 6th St. Intersection,創意南路,Chuang-Yi S. Rd.,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8571,"8571",1,"10360",港都客運,"Great-City-Life Bus Co., Ltd.","009","009",KHH8571,"8571",紅57(區間車),Red57(Interval),捷運楠梓加工區－捷運楠梓加工區,,0,,,,,11,紅57(區間車),Red57(Interval),捷運楠梓加工區,MRT Nanzih Export Processing Zone,員工服務中心,Employee Service Center,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH858,"858",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH858,"858",紅58A,Red58A,捷運都會公園站－高雄第一科大(西校區),,0,,,,,11,紅58A,Red58A,捷運都會公園站,MRT Metropolitan Park Station,高雄科大(第一西校區),National Kaohsiung University of Science and Technology (Diyi W Campus),,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH858,"858",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH858,"858",紅58A,Red58A,捷運都會公園站－高雄第一科大(西校區),,1,,,,,11,紅58A,Red58A,捷運都會公園站,MRT Metropolitan Park Station,高雄科大(第一西校區),National Kaohsiung University of Science and Technology (Diyi W Campus),,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8581,"8581",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH8581,"8581",紅58B,Red58B,捷運都會公園站－燕巢區公所,,0,,,,,11,紅58B,Red58B,捷運都會公園站,MRT Metropolitan Park Station,燕巢區公所,Yanchao District Office,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8581,"8581",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH8581,"8581",紅58B,Red58B,捷運都會公園站－燕巢區公所,,1,,,,,11,紅58B,Red58B,捷運都會公園站,MRT Metropolitan Park Station,燕巢區公所,Yanchao District Office,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8582,"8582",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH8582,"8582",紅58C(學校寒暑假停駛),Red58C,捷運都會公園站－楠梓高中,,0,,,,,11,紅58C(學校寒暑假停駛),Red58C,捷運都會公園站,MRT Kaohsiung Metropolitan Park Station,楠梓高中,Nan Zih Senior High School,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
