TicketType,TrainType,StationNo,StationName,TransactionDate,Enter,Exit
一般,捷運,R14,巨蛋站,20210622 10:30:00,15,32
一般,捷運,R14,巨蛋站,20210622 10:45:00,26,38
一般,捷運,R14,巨蛋站,20210622 11:00:00,18,46
一般,捷運,R14,巨蛋站,20210622 11:15:00,19,23
一般,捷運,R14,巨蛋站,20210622 11:30:00,6,17
一般,捷運,R14,巨蛋站,20210622 11:45:00,15,13
一般,捷運,R14,巨蛋站,20210622 12:00:00,12,8
一般,捷運,R14,巨蛋站,20210622 12:15:00,13,15
一般,捷運,R14,巨蛋站,20210622 12:30:00,15,20
一般,捷運,R14,巨蛋站,20210622 12:45:00,15,11
一般,捷運,R14,巨蛋站,20210622 13:00:00,7,12
一般,捷運,R14,巨蛋站,20210622 13:15:00,17,14
一般,捷運,R14,巨蛋站,20210622 13:30:00,15,13
一般,捷運,R14,巨蛋站,20210622 13:45:00,15,15
一般,捷運,R14,巨蛋站,20210622 14:00:00,12,13
一般,捷運,R14,巨蛋站,20210622 14:15:00,14,15
一般,捷運,R14,巨蛋站,20210622 14:30:00,17,14
一般,捷運,R14,巨蛋站,20210622 14:45:00,17,25
一般,捷運,R14,巨蛋站,20210622 15:00:00,8,11
一般,捷運,R14,巨蛋站,20210622 15:15:00,12,23
一般,捷運,R14,巨蛋站,20210622 15:30:00,15,21
一般,捷運,R14,巨蛋站,20210622 15:45:00,15,29
一般,捷運,R14,巨蛋站,20210622 16:00:00,17,14
一般,捷運,R14,巨蛋站,20210622 16:15:00,11,13
一般,捷運,R14,巨蛋站,20210622 16:30:00,17,33
一般,捷運,R14,巨蛋站,20210622 16:45:00,22,33
一般,捷運,R14,巨蛋站,20210622 17:00:00,27,25
一般,捷運,R14,巨蛋站,20210622 17:15:00,19,61
一般,捷運,R14,巨蛋站,20210622 17:30:00,42,75
一般,捷運,R14,巨蛋站,20210622 17:45:00,54,84
一般,捷運,R14,巨蛋站,20210622 18:00:00,68,91
一般,捷運,R14,巨蛋站,20210622 18:15:00,53,76
一般,捷運,R14,巨蛋站,20210622 18:30:00,47,51
一般,捷運,R14,巨蛋站,20210622 18:45:00,33,59
一般,捷運,R14,巨蛋站,20210622 19:00:00,29,47
一般,捷運,R14,巨蛋站,20210622 19:15:00,21,28
一般,捷運,R14,巨蛋站,20210622 19:30:00,28,32
一般,捷運,R14,巨蛋站,20210622 19:45:00,26,26
一般,捷運,R14,巨蛋站,20210622 20:00:00,50,22
一般,捷運,R14,巨蛋站,20210622 20:15:00,41,38
一般,捷運,R14,巨蛋站,20210622 20:30:00,17,16
一般,捷運,R14,巨蛋站,20210622 20:45:00,17,22
一般,捷運,R14,巨蛋站,20210622 21:00:00,13,10
一般,捷運,R14,巨蛋站,20210622 21:15:00,7,9
一般,捷運,R14,巨蛋站,20210622 21:30:00,17,5
一般,捷運,R14,巨蛋站,20210622 21:45:00,7,6
一般,捷運,R14,巨蛋站,20210622 22:00:00,9,1
一般,捷運,R14,巨蛋站,20210622 22:15:00,11,7
一般,捷運,R14,巨蛋站,20210622 22:30:00,1,7
一般,捷運,R14,巨蛋站,20210622 22:45:00,2,3
一般,捷運,R14,巨蛋站,20210622 23:00:00,4,2
一般,捷運,R14,巨蛋站,20210622 23:15:00,1,5
一般,捷運,R14,巨蛋站,20210622 23:30:00,0,2
一般,捷運,R13,凹子底站,20210622 05:30:00,1,0
一般,捷運,R13,凹子底站,20210622 05:45:00,6,0
一般,捷運,R13,凹子底站,20210622 06:00:00,3,3
一般,捷運,R13,凹子底站,20210622 06:15:00,18,3
一般,捷運,R13,凹子底站,20210622 06:30:00,28,2
一般,捷運,R13,凹子底站,20210622 06:45:00,32,5
一般,捷運,R13,凹子底站,20210622 07:00:00,28,8
一般,捷運,R13,凹子底站,20210622 07:15:00,51,13
一般,捷運,R13,凹子底站,20210622 07:30:00,56,43
一般,捷運,R13,凹子底站,20210622 07:45:00,55,39
一般,捷運,R13,凹子底站,20210622 08:00:00,25,43
一般,捷運,R13,凹子底站,20210622 08:15:00,23,50
一般,捷運,R13,凹子底站,20210622 08:30:00,20,52
一般,捷運,R13,凹子底站,20210622 08:45:00,5,22
一般,捷運,R13,凹子底站,20210622 09:00:00,12,16
一般,捷運,R13,凹子底站,20210622 09:15:00,21,13
一般,捷運,R13,凹子底站,20210622 09:30:00,5,9
一般,捷運,R13,凹子底站,20210622 09:45:00,8,23
一般,捷運,R13,凹子底站,20210622 10:00:00,8,12
一般,捷運,R13,凹子底站,20210622 10:15:00,9,19
一般,捷運,R13,凹子底站,20210622 10:30:00,7,32
一般,捷運,R13,凹子底站,20210622 10:45:00,15,11
一般,捷運,R13,凹子底站,20210622 11:00:00,10,8
一般,捷運,R13,凹子底站,20210622 11:15:00,12,12
一般,捷運,R13,凹子底站,20210622 11:30:00,13,6
